Step 0326 | Loss: 666.8914 | L0: 1075.0 | Dead: 0
Step 0327 | Loss: 650.3235 | L0: 1075.0 | Dead: 0
Step 0328 | Loss: 622.4164 | L0: 1075.0 | Dead: 0
Step 0329 | Loss: 660.4662 | L0: 1075.0 | Dead: 0
Step 0330 | Loss: 645.2015 | L0: 1075.0 | Dead: 0
Step 0331 | Loss: 656.2478 | L0: 1075.0 | Dead: 0
Step 0332 | Loss: 619.1979 | L0: 1075.0 | Dead: 0
Step 0333 | Loss: 600.0008 | L0: 1075.0 | Dead: 0
Step 0334 | Loss: 620.6064 | L0: 1075.0 | Dead: 0
Step 0335 | Loss: 625.8831 | L0: 1075.0 | Dead: 0
Step 0336 | Loss: 660.4674 | L0: 1075.0 | Dead: 0
Step 0337 | Loss: 684.0034 | L0: 1075.0 | Dead: 0
Step 0338 | Loss: 654.6655 | L0: 1075.0 | Dead: 0
Step 0339 | Loss: 651.5779 | L0: 1075.0 | Dead: 0
Step 0340 | Loss: 623.2584 | L0: 1075.0 | Dead: 0
Step 0341 | Loss: 657.3113 | L0: 1075.0 | Dead: 0
Step 0342 | Loss: 671.2233 | L0: 1075.0 | Dead: 0
Step 0343 | Loss: 630.2659 | L0: 1075.0 | Dead: 0
Step 0344 | Loss: 628.9958 | L0: 1075.0 | Dead: 0
Step 0345 | Loss: 626.3732 | L0: 1075.0 | Dead: 0
Step 0346 | Loss: 623.9454 | L0: 1075.0 | Dead: 0
Step 0347 | Loss: 623.2388 | L0: 1075.0 | Dead: 0
Step 0348 | Loss: 649.6633 | L0: 1075.0 | Dead: 0
Step 0349 | Loss: 612.2151 | L0: 1075.0 | Dead: 0
Step 0350 | Loss: 624.7989 | L0: 1075.0 | Dead: 0
Step 0351 | Loss: 624.5678 | L0: 1075.0 | Dead: 0
Step 0352 | Loss: 623.3719 | L0: 1075.0 | Dead: 0
Step 0353 | Loss: 653.8768 | L0: 1075.0 | Dead: 0
Step 0354 | Loss: 632.7876 | L0: 1075.0 | Dead: 0
Step 0355 | Loss: 655.7257 | L0: 1075.0 | Dead: 0
Step 0356 | Loss: 636.1388 | L0: 1075.0 | Dead: 0
Step 0357 | Loss: 640.4282 | L0: 1075.0 | Dead: 0
Step 0358 | Loss: 639.7166 | L0: 1075.0 | Dead: 0
Step 0359 | Loss: 624.8597 | L0: 1075.0 | Dead: 0
Step 0360 | Loss: 624.8813 | L0: 1075.0 | Dead: 0
Step 0361 | Loss: 636.4855 | L0: 1075.0 | Dead: 0
Step 0362 | Loss: 662.5093 | L0: 1075.0 | Dead: 0
Step 0363 | Loss: 601.3738 | L0: 1075.0 | Dead: 0
Step 0364 | Loss: 663.0622 | L0: 1075.0 | Dead: 0
Step 0365 | Loss: 649.4315 | L0: 1075.0 | Dead: 0
Step 0366 | Loss: 641.7657 | L0: 1075.0 | Dead: 0
Step 0367 | Loss: 608.7660 | L0: 1075.0 | Dead: 0
Step 0368 | Loss: 628.6730 | L0: 1075.0 | Dead: 0
Step 0369 | Loss: 644.6270 | L0: 1075.0 | Dead: 0
Step 0370 | Loss: 631.0966 | L0: 1075.0 | Dead: 0
Step 0371 | Loss: 628.0026 | L0: 1075.0 | Dead: 0
Step 0372 | Loss: 641.6522 | L0: 1075.0 | Dead: 0
Step 0373 | Loss: 607.8613 | L0: 1075.0 | Dead: 0
Step 0374 | Loss: 602.5649 | L0: 1075.0 | Dead: 0
Step 0375 | Loss: 610.4077 | L0: 1075.0 | Dead: 0
Step 0376 | Loss: 640.7283 | L0: 1075.0 | Dead: 0
Step 0377 | Loss: 602.8829 | L0: 1075.0 | Dead: 0
Step 0378 | Loss: 612.0939 | L0: 1075.0 | Dead: 0
Step 0379 | Loss: 632.6920 | L0: 1075.0 | Dead: 0
Step 0380 | Loss: 604.5726 | L0: 1075.0 | Dead: 0
Step 0381 | Loss: 641.8054 | L0: 1075.0 | Dead: 0
Step 0382 | Loss: 603.4252 | L0: 1075.0 | Dead: 0
Step 0383 | Loss: 591.4530 | L0: 1075.0 | Dead: 0
Step 0384 | Loss: 597.7018 | L0: 1075.0 | Dead: 0
Step 0385 | Loss: 613.2272 | L0: 1075.0 | Dead: 0
Step 0386 | Loss: 617.2279 | L0: 1075.0 | Dead: 0
Step 0387 | Loss: 629.4046 | L0: 1075.0 | Dead: 0
Step 0388 | Loss: 627.2029 | L0: 1075.0 | Dead: 0
Step 0389 | Loss: 628.7000 | L0: 1075.0 | Dead: 0
Step 0390 | Loss: 626.5396 | L0: 1075.0 | Dead: 0
Step 0391 | Loss: 570.5792 | L0: 1075.0 | Dead: 0
Step 0392 | Loss: 580.9996 | L0: 1075.0 | Dead: 0
Step 0393 | Loss: 599.0419 | L0: 1075.0 | Dead: 0
Step 0394 | Loss: 576.2836 | L0: 1075.0 | Dead: 0
Step 0395 | Loss: 567.2511 | L0: 1075.0 | Dead: 0
